mark,model,version,version_production_years,version_doors,version_body_type,specific_version,year,segment,transmission_full,transmission_short,engine_type,fuel_type,engine_capacity (cc),turbo,urban_consumption (l/100km),extra_urban_consumption (l/100km),combined_consumption (l/100km),co2_emission (g/km),weight,start/stop_system (yes/no)
BMW,BMW 2-series Gran Coupe,"2020-present,4doors,sedan",2020-present,4doors,sedan,2020 BMW 218i Gran Coupe ,2020,c (small medium),6 speed manual transmission,Manual,fuel engine,gasoline,1499,"yes, with intercooler","7,3 ","4,3 ",,128,1325,yes
BMW,BMW 2-series Gran Coupe,"2020-present,4doors,sedan",2020-present,4doors,sedan,2020 BMW 218i Gran Coupe ,2020,c (small medium),7 speed automatic with double clutch,Automatic,fuel engine,gasoline,1499,"yes, with intercooler","6,2 ","4,3 ",,128,1350,yes
BMW,BMW 2-series Gran Coupe,"2020-present,4doors,sedan",2020-present,4doors,sedan,2020 BMW 218i Gran Coupe Corporate Executive ,2020,c (small medium),6 speed manual transmission,Manual,fuel engine,gasoline,1499,"yes, with intercooler","7,3 ","4,3 ",,128,1325,yes
BMW,BMW 2-series Gran Coupe,"2020-present,4doors,sedan",2020-present,4doors,sedan,2020 BMW 218i Gran Coupe Corporate Executive ,2020,c (small medium),7 speed automatic with double clutch,Automatic,fuel engine,gasoline,1499,"yes, with intercooler","6,2 ","4,3 ",,128,1350,yes
BMW,BMW 2-series Gran Coupe,"2020-present,4doors,sedan",2020-present,4doors,sedan,2020 BMW 220i Gran Coupe ,2020,c (small medium),7 speed automatic with double clutch,Automatic,fuel engine,gasoline,1998,"yes, with intercooler",- ,- ,"5,9 ",136,1405,yes
BMW,BMW 2-series Gran Coupe,"2020-present,4doors,sedan",2020-present,4doors,sedan,2020 BMW M235i XDrive Gran Coupe ,2020,c (small medium),7 speed automatic with double clutch,Automatic,fuel engine,gasoline,1998,"yes, with intercooler","8,5 ","5,6 ",,162,1545,yes
BMW,BMW 2-series Gran Coupe,"2020-present,4doors,sedan",2020-present,4doors,sedan,2020 BMW 216d Gran Coupe ,2020,c (small medium),6 speed automatic,Automatic,fuel engine,diesel,1496,"yes, with intercooler",- ,- ,"4,6 ",120,1405,yes
BMW,BMW 2-series Gran Coupe,"2020-present,4doors,sedan",2020-present,4doors,sedan,2020 BMW 218d Gran Coupe ,2020,c (small medium),6 speed manual transmission,Manual,fuel engine,diesel,1995,"yes, with intercooler","5,0 ","3,6 ",,121,1400,yes
BMW,BMW 2-series Gran Coupe,"2020-present,4doors,sedan",2020-present,4doors,sedan,2020 BMW 218d Gran Coupe ,2020,c (small medium),8 speed automatic,Automatic,fuel engine,diesel,1995,"yes, with intercooler","4,6 ","3,9 ",,128,1445,yes
BMW,BMW 2-series Gran Coupe,"2020-present,4doors,sedan",2020-present,4doors,sedan,2020 BMW 220d Gran Coupe ,2020,c (small medium),8 speed automatic,Automatic,fuel engine,diesel,1995,"yes, with intercooler","4,9 ","3,8 ",,128,1480,yes
